game_id,season,week,date,kickoff_et,home_team,away_team,home_score,away_score,home_win,spread_close,total_close
2018_11_DEN_LAC,2018,11,2018-11-18,16:05,LAC,DEN,22,23,0,7.5,47
2018_11_PHI_NO,2018,11,2018-11-18,16:25,NO,PHI,48,7,1,7,56.5
2018_11_MIN_CHI,2018,11,2018-11-18,20:20,CHI,MIN,25,20,1,2.5,44
2018_11_KC_LA,2018,11,2018-11-19,20:15,LA,KC,54,51,1,3,63.5
2018_12_CHI_DET,2018,12,2018-11-22,12:30,DET,CHI,16,23,0,-3,43
2018_12_WAS_DAL,2018,12,2018-11-22,16:30,DAL,WAS,31,23,1,7,40
2018_12_ATL_NO,2018,12,2018-11-22,20:20,NO,ATL,31,17,1,11.5,61
2018_12_OAK_BAL,2018,12,2018-11-25,13:00,BAL,OAK,34,17,1,13,42
2018_12_JAX_BUF,2018,12,2018-11-25,13:00,BUF,JAX,24,21,1,-3,36.5
2018_12_SEA_CAR,2018,12,2018-11-25,13:00,CAR,SEA,27,30,0,3,46.5
2018_12_CLE_CIN,2018,12,2018-11-25,13:00,CIN,CLE,20,35,0,-1,46.5
2018_12_NE_NYJ,2018,12,2018-11-25,13:00,NYJ,NE,13,27,0,-13,46.5
2018_12_NYG_PHI,2018,12,2018-11-25,13:00,PHI,NYG,25,22,1,4.5,49
2018_12_SF_TB,2018,12,2018-11-25,13:00,TB,SF,27,9,1,1.5,54.5
2018_12_ARI_LAC,2018,12,2018-11-25,16:05,LAC,ARI,45,10,1,14,43.5
2018_12_PIT_DEN,2018,12,2018-11-25,16:25,DEN,PIT,24,17,1,-3,47.5
2018_12_MIA_IND,2018,12,2018-11-25,16:25,IND,MIA,27,24,1,9,52.5
2018_12_GB_MIN,2018,12,2018-11-25,20:20,MIN,GB,24,17,1,4,48.5
2018_12_TEN_HOU,2018,12,2018-11-26,20:15,HOU,TEN,34,17,1,3.5,42.5
2018_13_NO_DAL,2018,13,2018-11-29,20:20,DAL,NO,13,10,1,-7,51.5
2018_13_BAL_ATL,2018,13,2018-12-02,13:00,ATL,BAL,16,26,0,2.5,46.5
2018_13_DEN_CIN,2018,13,2018-12-02,13:00,CIN,DEN,10,24,0,-3.5,45
2018_13_LA_DET,2018,13,2018-12-02,13:00,DET,LA,16,30,0,-10.5,54
2018_13_ARI_GB,2018,13,2018-12-02,13:00,GB,ARI,17,20,0,13.5,41
2018_13_CLE_HOU,2018,13,2018-12-02,13:00,HOU,CLE,29,13,1,5,47.5
2018_13_IND_JAX,2018,13,2018-12-02,13:00,JAX,IND,6,0,1,-4,45.5
2018_13_BUF_MIA,2018,13,2018-12-02,13:00,MIA,BUF,21,17,1,3.5,40
2018_13_CHI_NYG,2018,13,2018-12-02,13:00,NYG,CHI,30,27,1,-3.5,44
2018_13_CAR_TB,2018,13,2018-12-02,13:00,TB,CAR,24,17,1,-3.5,52
2018_13_KC_OAK,2018,13,2018-12-02,16:05,OAK,KC,33,40,0,-14,53.5
2018_13_NYJ_TEN,2018,13,2018-12-02,16:05,TEN,NYJ,26,22,1,10.5,40.5
2018_13_MIN_NE,2018,13,2018-12-02,16:25,NE,MIN,24,10,1,6,50
2018_13_SF_SEA,2018,13,2018-12-02,16:25,SEA,SF,43,16,1,10,45.5
2018_13_LAC_PIT,2018,13,2018-12-02,20:20,PIT,LAC,30,33,0,3.5,53.5
2018_13_WAS_PHI,2018,13,2018-12-03,20:15,PHI,WAS,28,13,1,5.5,45
2018_14_JAX_TEN,2018,14,2018-12-06,20:20,TEN,JAX,30,9,1,5.5,36.5
2018_14_NYJ_BUF,2018,14,2018-12-09,13:00,BUF,NYJ,23,27,0,4.5,37
2018_14_CAR_CLE,2018,14,2018-12-09,13:00,CLE,CAR,26,20,1,-1,48
2018_14_ATL_GB,2018,14,2018-12-09,13:00,GB,ATL,34,20,1,4,51
2018_14_IND_HOU,2018,14,2018-12-09,13:00,HOU,IND,21,24,0,4,49.5
2018_14_BAL_KC,2018,14,2018-12-09,13:00,KC,BAL,27,24,1,6.5,49
2018_14_NE_MIA,2018,14,2018-12-09,13:00,MIA,NE,34,33,1,-8.5,49.5
2018_14_NO_TB,2018,14,2018-12-09,13:00,TB,NO,14,28,0,-8.5,55
